Name,Position,Market_Value,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls (90),Ast (90),G+A (90),G-PK (90),G+A-PK (90)
Aaron Cresswell,Defender,-2000000.0,1.0,-16.0,-17.0,-1480.0,-16.400000000000002,-1.0,-2.0,-3.0,-1.0,0.0,0.0,-6.0,0.0,0.0,-34.0,41.0,-0.03,-0.03,-0.06,-0.03,-0.06
Aaron Lennon,Attack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Mooy,Midfield,0.0,1.0,-7.0,-9.0,-737.0,-8.200000000000003,-1.0,-2.0,-3.0,-1.0,0.0,0.0,0.0,0.0,6.0,-85.0,17.0,0.0,-0.049999999999999996,-0.06,-0.009999999999999995,-0.06
Aaron Ramsey,Midfield,-5000000.0,1.0,4.0,-7.0,-515.0,-5.699999999999999,-3.0,-2.0,-5.0,-3.0,0.0,0.0,0.0,0.0,-14.0,-46.0,-28.0,-0.07,0.019999999999999962,-0.04999999999999993,-0.07,-0.04999999999999993
Aaron Wan-Bissaka,Defender,30000000.0,1.0,28.0,28.0,2507.0,27.799999999999997,0.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,78.0,136.0,105.0,0.0,0.09,0.09,0.0,0.09
Aarón Martín,Defender,0.0,1.0,1.0,1.0,63.0,0.6999999999999993,0.0,3.0,3.0,0.0,0.0,0.0,-3.0,0.0,51.0,20.0,73.0,0.0,0.09,0.09,0.0,0.09
Abdelhamid Sabiri,Attack,0.0,1.0,-3.0,-1.0,-172.0,-1.9,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-2.0,-13.0,-7.0,0.0,-0.41,-0.41,0.0,-0.41
Abdou Diallo,Defender,2000000.0,1.0,1.0,0.0,-36.0,-0.40000000000000213,-1.0,0.0,-1.0,-1.0,0.0,0.0,-4.0,1.0,16.0,25.0,38.0,-0.030000000000000006,0.0,-0.03,-0.030000000000000006,-0.03
Abdoulaye Bamba,Defender,2000000.0,1.0,12.0,12.0,1040.0,11.600000000000001,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,28.0,20.0,24.0,0.0,0.14,0.14,0.0,0.14
Abdoulaye Diallo,Goalkeeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,Midfield,-24000000.0,2.0,-31.0,-31.0,-2829.0,-31.4,-7.0,-3.0,-10.0,-7.0,0.0,0.0,-10.0,0.0,-73.0,-222.0,-79.0,-0.19,-0.08,-0.27,-0.19,-0.27
Abdoulaye Touré,Midfield,16000000.0,2.0,-1.0,3.0,252.0,2.8000000000000007,4.0,5.0,9.0,4.0,0.0,0.0,4.0,0.0,34.0,18.0,49.0,0.12,0.15,0.26,0.12,0.26
